id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",LA LIBERTAD AVANZA,1.38,0.16,0.15,26.7,24.75,33.17,0.25,0.1,0.24,0.18,0.16,0.78,0.26,0.0,11.71,536.0,63.0,60.0,10405.0,9646.0,12927.0,97.0,40.0,93.0,71.0,62.0,304.0,102.0,0.0,4564.0,64.35,62632,40306,1.79,0.02,1.51,721,8,CORDOBA
CORDOBA_CAPITAL,"Capital, Cordoba",LA LIBERTAD AVANZA,2.32,0.11,0.12,30.2,25.76,31.86,0.18,0.14,0.08,0.26,0.09,0.64,0.18,0.01,8.05,17912.0,857.0,915.0,232780.0,198532.0,245608.0,1380.0,1069.0,632.0,1995.0,695.0,4915.0,1397.0,44.0,62054.0,69.89,1131854,791091,1.31,0.06,1.2,10392,457,CORDOBA
CORDOBA_COLON,"Colon, Cordoba",LA LIBERTAD AVANZA,1.67,0.14,0.12,27.88,26.04,34.84,0.15,0.1,0.15,0.24,0.11,0.59,0.19,0.0,7.75,2844.0,243.0,199.0,47389.0,44260.0,59212.0,259.0,178.0,255.0,409.0,192.0,1004.0,328.0,4.0,13179.0,69.28,252221,174731,1.5,0.03,1.2,2623,56,CORDOBA
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",HACEMOS POR NUESTRO PAIS,0.81,0.25,0.29,31.87,19.92,27.93,0.29,0.2,0.21,0.22,0.21,0.78,0.34,0.02,16.64,233.0,72.0,83.0,9123.0,5702.0,7995.0,84.0,58.0,61.0,62.0,60.0,224.0,96.0,7.0,4762.0,55.27,53674,29664,2.18,0.08,1.25,646,25,CORDOBA
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",LA LIBERTAD AVANZA,0.47,0.23,0.13,25.16,26.08,37.97,0.16,0.09,0.22,0.06,0.1,0.69,0.19,0.01,8.45,82.0,41.0,23.0,4402.0,4563.0,6644.0,28.0,15.0,39.0,10.0,18.0,121.0,34.0,1.0,1478.0,60.71,29517,17919,1.67,0.01,0.67,299,1,CORDOBA
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",LA LIBERTAD AVANZA,1.13,0.18,0.15,20.3,27.68,35.74,0.28,0.14,0.28,0.17,0.14,1.0,0.23,0.0,12.57,897.0,140.0,122.0,16062.0,21900.0,28279.0,220.0,112.0,218.0,132.0,112.0,793.0,184.0,2.0,9948.0,67.11,121323,81424,1.74,0.04,1.05,1419,29,CORDOBA
CORDOBA_ISCHILIN,"Ischilin, Cordoba",LA LIBERTAD AVANZA,0.92,0.16,0.2,31.26,20.14,35.22,0.16,0.06,0.15,0.17,0.11,0.68,0.22,0.0,10.56,171.0,30.0,37.0,5813.0,3745.0,6550.0,29.0,11.0,28.0,31.0,20.0,127.0,41.0,0.0,1964.0,64.17,29927,19204,1.97,0.04,1.16,378,7,CORDOBA
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",LA LIBERTAD AVANZA,0.67,0.21,0.16,22.81,23.24,43.48,0.2,0.15,0.23,0.16,0.15,0.79,0.23,0.0,7.51,247.0,77.0,60.0,8403.0,8562.0,16017.0,73.0,57.0,85.0,58.0,56.0,290.0,85.0,0.0,2767.0,68.25,55869,38128,2.07,0.01,1.3,789,5,CORDOBA
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",LA LIBERTAD AVANZA,0.63,0.13,0.14,21.29,30.83,34.95,0.18,0.11,0.26,0.08,0.09,0.73,0.17,0.0,10.39,378.0,77.0,84.0,12838.0,18588.0,21073.0,109.0,66.0,157.0,51.0,57.0,443.0,100.0,0.0,6266.0,68.98,89827,61960,2.02,0.01,0.67,1250,9,CORDOBA
CORDOBA_MINAS,"Minas, Cordoba",HACEMOS POR NUESTRO PAIS,0.7,0.39,0.23,45.27,21.49,19.28,0.12,0.31,0.31,0.23,0.16,0.58,0.16,0.0,10.78,18.0,10.0,6.0,1167.0,554.0,497.0,3.0,8.0,8.0,6.0,4.0,15.0,4.0,0.0,278.0,51.92,5154,2676,1.64,1.31,0.71,44,35,CORDOBA
