id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",UNION POR LA PATRIA,0.5,0.57,0.52,1.05,12.02,40.28,0.79,0.65,0.15,0.36,0.76,0.94,0.01,0.0,41.39,69.0,78.0,71.0,145.0,1654.0,5543.0,109.0,90.0,21.0,49.0,105.0,130.0,1.0,0.0,5696.0,58.67,26251,15401,10.5,0.05,0.1,1617,8,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",LA LIBERTAD AVANZA,2.31,0.02,0.64,1.46,21.72,41.72,0.55,0.24,0.22,0.9,0.37,1.03,0.02,0.0,28.79,573.0,6.0,159.0,363.0,5385.0,10346.0,137.0,59.0,54.0,224.0,92.0,255.0,4.0,1.0,7139.0,69.74,37208,25949,3.41,0.08,0.94,886,22,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",LA LIBERTAD AVANZA,1.05,0.02,0.67,0.93,14.9,48.5,0.86,0.68,0.29,0.5,0.72,0.62,0.03,0.0,30.24,293.0,5.0,188.0,259.0,4164.0,13554.0,241.0,189.0,81.0,141.0,201.0,172.0,7.0,1.0,8451.0,64.66,47070,30436,7.57,0.01,0.59,2305,3,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",LA LIBERTAD AVANZA,0.8,0.02,0.59,1.05,19.73,39.19,0.69,0.29,0.36,0.75,0.68,0.7,0.03,0.01,35.12,149.0,3.0,110.0,196.0,3677.0,7303.0,128.0,54.0,67.0,140.0,126.0,131.0,6.0,1.0,6546.0,66.29,29356,19459,3.37,0.11,0.75,655,22,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",LA LIBERTAD AVANZA,1.11,0.03,0.38,1.72,27.02,43.02,0.51,0.24,0.27,1.08,0.36,0.72,0.02,0.01,23.51,2158.0,67.0,729.0,3327.0,52348.0,83343.0,988.0,466.0,517.0,2087.0,694.0,1400.0,43.0,28.0,45556.0,68.48,296326,202938,3.25,0.23,1.04,6595,474,MISIONES
MISIONES_CONCEPCION,"Concepcion, Misiones",JUNTOS POR EL CAMBIO,1.51,0.04,0.82,0.75,32.39,30.71,1.1,0.45,0.28,0.95,0.82,0.5,0.06,0.0,29.62,70.0,2.0,38.0,35.0,1505.0,1427.0,51.0,21.0,13.0,44.0,38.0,23.0,3.0,0.0,1376.0,61.28,8070,4945,5.5,0.08,0.47,272,4,MISIONES
MISIONES_ELDORADO,"Eldorado, Misiones",LA LIBERTAD AVANZA,4.13,0.12,0.38,2.02,15.96,46.09,0.46,0.17,0.32,0.49,0.62,0.49,0.01,0.0,28.75,1852.0,53.0,172.0,906.0,7153.0,20664.0,206.0,76.0,145.0,218.0,276.0,219.0,4.0,1.0,12887.0,67.71,69522,47070,3.71,0.16,0.89,1744,75,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",LA LIBERTAD AVANZA,1.11,0.03,0.98,0.66,13.05,51.4,1.06,0.63,0.29,1.14,0.83,0.79,0.01,0.01,28.01,208.0,6.0,184.0,123.0,2440.0,9607.0,198.0,117.0,54.0,213.0,155.0,148.0,2.0,1.0,5235.0,53.29,37633,20053,5.4,0.78,0.61,1083,156,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",LA LIBERTAD AVANZA,1.32,0.12,0.52,0.59,12.26,50.31,0.82,0.72,0.2,0.54,0.63,0.6,0.0,0.01,31.35,392.0,36.0,155.0,176.0,3639.0,14929.0,244.0,215.0,60.0,159.0,186.0,179.0,0.0,3.0,9303.0,54.57,60996,33286,10.06,0.05,0.74,3349,15,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",LA LIBERTAD AVANZA,0.88,0.03,0.45,1.35,16.5,50.88,0.7,0.28,0.25,0.75,0.47,0.7,0.01,0.02,26.73,424.0,16.0,220.0,651.0,7980.0,24603.0,340.0,135.0,119.0,362.0,229.0,340.0,6.0,8.0,12926.0,64.86,77579,50316,3.0,0.05,0.84,1508,25,MISIONES
MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",LA LIBERTAD AVANZA,1.26,0.28,0.65,1.13,17.82,46.44,0.45,0.3,0.18,0.48,0.49,0.58,0.0,0.0,29.93,358.0,80.0,185.0,323.0,5071.0,13217.0,128.0,86.0,52.0,136.0,139.0,166.0,1.0,1.0,8520.0,73.15,41628,30452,5.89,0.03,0.61,1794,8,MISIONES
MISIONES_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Misiones",LA LIBERTAD AVANZA,0.86,0.06,0.42,1.4,16.48,49.51,0.49,0.2,0.29,0.62,0.48,0.45,0.03,0.01,28.7,237.0,16.0,115.0,385.0,4530.0,13606.0,136.0,55.0,79.0,171.0,133.0,123.0,7.0,2.0,7889.0,70.17,41261,28953,4.3,0.08,0.69,1246,23,MISIONES
